Image Address,Target Index,Target Right Ascension,Target Declination,Survey,Band,Number of Central Blobs,Main Blob Center,Main Blob Radius,Main Blob Displacement,Percent Outside Diffraction,Threshold Value,Percent of Image White,Validation,Error
FITS/RandSample-2000/index-6/2MASS--J,6,48.605807,47.23304,2MASS,J,1,"(29, 29)",4,2.8284271247461903,0.0,0.310546875,0.01746842246707874,,NULL
FITS/RandSample-2000/index-6/2MASS--H,6,48.605807,47.23304,2MASS,H,1,"(29, 29)",4,2.8284271247461903,0.0,0.333984375,0.018543402311206665,,NULL
FITS/RandSample-2000/index-7/WISE+(AllWISE)--w3,7,180.783056,10.772467,WISE,w3,0,NULL,NULL,NULL,NULL,0.646484375,0.6227272727272727,0,Image lacks central blob
FITS/RandSample-2000/index-7/WISE+(AllWISE)--w2,7,180.783056,10.772467,WISE,w2,1,"(22, 22)",7,1.4142135623730951,0.0,0.400390625,0.10353535353535354,,NULL
FITS/RandSample-2000/index-7/DSS--DSS1+Blue,7,180.783056,10.772467,DSS,DSS1+Blue,1,"(28, 30)",5,2.0,0.0,0.423828125,0.0403954802259887,,NULL
FITS/RandSample-2000/index-7/DSS--DSS1+Red,7,180.783056,10.772467,DSS,DSS1+Red,1,"(16, 17)",4,2.23606797749979,0.0,0.396484375,0.0326530612244898,,NULL
FITS/RandSample-2000/index-7/DSS--DSS2+Blue,7,180.783056,10.772467,DSS,DSS2+Blue,1,"(29, 30)",4,1.0,0.0,0.380859375,0.02344632768361582,,NULL
FITS/RandSample-2000/index-7/2MASS--K,7,180.783056,10.772467,2MASS,K,1,"(30, 29)",4,2.23606797749979,0.0,0.416015625,0.008868583714055361,,NULL
FITS/RandSample-2000/index-7/WISE+(AllWISE)--w4,7,180.783056,10.772467,WISE,w4,0,NULL,NULL,NULL,NULL,0.798828125,0.7035353535353536,0,Image lacks central blob
FITS/RandSample-2000/index-7/DSS--DSS2+Red,7,180.783056,10.772467,DSS,DSS2+Red,1,"(29, 30)",5,1.0,0.0,0.392578125,0.02514124293785311,,NULL
FITS/RandSample-2000/index-7/DSS--DSS2+IR,7,180.783056,10.772467,DSS,DSS2+IR,1,"(29, 30)",4,1.0,0.0,0.380859375,0.016666666666666666,,NULL
FITS/RandSample-2000/index-7/WISE+(AllWISE)--w1,7,180.783056,10.772467,WISE,w1,1,"(22, 22)",7,1.4142135623730951,0.0,0.345703125,0.09444444444444444,,NULL
FITS/RandSample-2000/index-7/2MASS--J,7,180.783056,10.772467,2MASS,J,1,"(30, 29)",4,2.23606797749979,0.0,0.373046875,0.00806234883095942,,NULL
